DATA,REAL,PREVISAO
2020-05-01,7848,7829.103848826263
2020-06-01,7315,7946.621384178784
2020-07-01,7717,8320.685308353044
2020-08-01,8092,7941.711598031402
2020-09-01,7109,7306.802130373396
2020-10-01,7249,7352.65134506737
2020-11-01,7014,6839.038253715712
2020-12-01,7170,7270.720699974814
2021-01-01,7424,7303.911055521249
2021-02-01,6614,6658.925494628057
2021-03-01,7868,7261.100138255476
2021-04-01,7436,7164.6539457511435
2021-05-01,8368,7928.007340299256
2021-06-01,8188,8046.903880283844
2021-07-01,8913,8425.578001315165
2021-08-01,8282,8041.721788365321
2021-09-01,7205,7398.72042769665
2021-10-01,7550,7445.049554739418
2021-11-01,7383,6924.892158469098
2021-12-01,8117,7361.898349457297
2022-01-01,9327,7395.409306277538
2022-02-01,7212,6742.256827770027
2022-03-01,7308,7351.872561848927
2022-04-01,7273,7254.127466264837
2022-05-01,8381,8026.910831772249
2022-06-01,8677,8147.186376388904
2022-07-01,8306,8530.470694277286
2022-08-01,8219,8141.731978699242
2022-09-01,7774,7490.638725019907
2022-10-01,7619,7537.447764411466
2022-11-01,7322,7010.746063222484
2022-12-01,7654,7453.075998939779
