DATA,REAL,PREVISAO
2020-08-01,8092.0,8206.258
2020-09-01,7109.0,7768.087
2020-10-01,7249.0,7663.056
2020-11-01,7014.0,7484.3184
2020-12-01,7170.000000000001,7659.61
2021-01-01,7424.0,7314.9814
2021-02-01,6614.0,7084.958
2021-03-01,7867.999999999999,7180.202
2021-04-01,7435.999999999999,7161.348
2021-05-01,8368.0,7944.8467
2021-06-01,8188.0,7842.1387
2021-07-01,8913.0,8038.0864
2021-08-01,8282.0,7852.8813
2021-09-01,7205.0,7256.515
2021-10-01,7550.0,7321.014
2021-11-01,7382.999999999999,7282.7915
2021-12-01,8117.000000000001,7316.3555
2022-01-01,9327.0,7270.794
2022-02-01,7212.0,7121.2456
2022-03-01,7308.0,7279.9263
2022-04-01,7273.000000000001,7258.5396
2022-05-01,8381.0,7520.64
2022-06-01,8677.0,7819.8687
2022-07-01,8306.0,8128.152
2022-08-01,8219.0,7774.7607
2022-09-01,7774.0,7242.0356
2022-10-01,7618.999999999999,7386.2935
2022-11-01,7322.0,7510.9272
2022-12-01,7654.0,7902.1953
