DATA,REAL,PREVISAO
2020-08-01,8092.0,7855.4624
2020-09-01,7109.0,7739.057
2020-10-01,7249.0,7683.77
2020-11-01,7014.0,7624.021
2020-12-01,7170.000000000001,7656.3125
2021-01-01,7424.0,7577.5894
2021-02-01,6614.0,7526.193
2021-03-01,7867.999999999999,7573.396
2021-04-01,7435.999999999999,7615.651
2021-05-01,8368.0,7789.735
2021-06-01,8188.0,7769.5703
2021-07-01,8913.0,7815.5703
2021-08-01,8282.0,7787.9805
2021-09-01,7205.0,7580.2935
2021-10-01,7550.0,7565.7705
2021-11-01,7382.999999999999,7547.108
2021-12-01,8117.000000000001,7606.034
2022-01-01,9327.0,7682.4126
2022-02-01,7212.0,7766.4175
2022-03-01,7308.0,7899.9473
2022-04-01,7273.000000000001,7899.6074
2022-05-01,8381.0,7952.816
2022-06-01,8677.0,7963.64
2022-07-01,8306.0,7986.5454
2022-08-01,8219.0,7885.029
2022-09-01,7774.0,7802.9185
2022-10-01,7618.999999999999,7862.2627
2022-11-01,7322.0,7881.7983
2022-12-01,7654.0,7925.1475
