DATA,REAL,PREVISAO
2020-05-01,7848,7723.711415477366
2020-06-01,7315,8024.541608067338
2020-07-01,7717,8492.632424721902
2020-08-01,8092,8137.808416092762
2020-09-01,7109,7515.398065395094
2020-10-01,7249,7558.849495312302
2020-11-01,7014,7057.49134656051
2020-12-01,7170,7477.550017764044
2021-01-01,7424,7499.843854412135
2021-02-01,6614,6881.366195197337
2021-03-01,7868,7442.058824142743
2021-04-01,7436,7316.549456156485
2021-05-01,8368,8065.93461315983
2021-06-01,8188,8212.340917112975
2021-07-01,8913,8590.672806688497
2021-08-01,8282,8228.55824741742
2021-09-01,7205,7605.071700226874
2021-10-01,7550,7647.3572091898895
2021-11-01,7383,7140.186292474158
2021-12-01,8117,7553.275804574337
2022-01-01,9327,7583.823688099724
2022-02-01,7212,6958.287675926598
2022-03-01,7308,7534.47146576212
2022-04-01,7273,7438.606701479726
2022-05-01,8381,8168.610996120819
2022-06-01,8677,8306.869698314882
2022-07-01,8306,8680.46638772541
2022-08-01,8219,8317.966762672728
2022-09-01,7774,7694.423226122568
2022-10-01,7619,7736.6471510587535
2022-11-01,7322,7229.169635779847
2022-12-01,7654,7641.89158509503
